<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GAZP,D,20200214,000000,233.7900000,235.4000000,230.9100000,232.5000000,34.339.380
GAZP,D,20200217,000000,233.4000000,234.5600000,231.9100000,233.7500000,20.525.270
GAZP,D,20200218,000000,232.9700000,233.2800000,229.8000000,230.5000000,30.822.280
GAZP,D,20200219,000000,231.8400000,233.5000000,230.7100000,231.9000000,24.383.830
GAZP,D,20200220,000000,232.5500000,235.7500000,232.0000000,234.6000000,33.547.100
GAZP,D,20200221,000000,233.2000000,233.7700000,231.6100000,232.0000000,29.613.730
GAZP,D,20200225,000000,227.9900000,230.0600000,224.6800000,224.6800000,51.889.790
GAZP,D,20200226,000000,223.3200000,225.4700000,220.8100000,224.7600000,63.577.060
GAZP,D,20200227,000000,220.9900000,223.4000000,216.8000000,217.5000000,82.610.580
GAZP,D,20200228,000000,210.0000000,211.9700000,200.5700000,202.6500000,168.877.890
GAZP,D,20200302,000000,207.9900000,211.9900000,195.5100000,198.7800000,151.413.660
GAZP,D,20200303,000000,204.7800000,205.2700000,198.0000000,201.4800000,104.199.970
GAZP,D,20200304,000000,199.9000000,204.4200000,198.2800000,200.0000000,78.621.910
GAZP,D,20200305,000000,203.0000000,203.4300000,197.5000000,198.0000000,65.760.320
GAZP,D,20200306,000000,193.4900000,194.2300000,185.1300000,188.2700000,131.420.850
GAZP,D,20200310,000000,169.4500000,185.8400000,161.0100000,171.0000000,203.245.560
GAZP,D,20200311,000000,173.9800000,175.8700000,167.3900000,172.0300000,108.371.760
GAZP,D,20200312,000000,163.4000000,167.8000000,161.2000000,163.7300000,150.756.610
GAZP,D,20200313,000000,164.0800000,175.6900000,164.0200000,166.1000000,142.833.320
GAZP,D,20200316,000000,163.5600000,169.9900000,158.1700000,168.0700000,115.641.980
GAZP,D,20200317,000000,168.9600000,175.5000000,164.5600000,167.0000000,108.041.540
GAZP,D,20200318,000000,164.9000000,170.4500000,162.0000000,166.3400000,105.950.660
GAZP,D,20200319,000000,168.7700000,175.2000000,164.0500000,174.5600000,121.970.230
GAZP,D,20200320,000000,179.9800000,184.6900000,176.1000000,176.2600000,139.598.470
GAZP,D,20200323,000000,171.0300000,172.2800000,168.0400000,168.3500000,108.969.290
GAZP,D,20200324,000000,174.3600000,179.9900000,172.6100000,177.9500000,89.246.570
GAZP,D,20200325,000000,182.8000000,186.9000000,175.2600000,180.2000000,114.425.820
GAZP,D,20200326,000000,179.4500000,184.9000000,177.2800000,181.5000000,53.884.430
GAZP,D,20200327,000000,181.2000000,181.3700000,172.0000000,174.5000000,55.565.750
GAZP,D,20200330,000000,171.9900000,177.6300000,170.5000000,176.4400000,47.795.640
GAZP,D,20200331,000000,178.5000000,184.6400000,178.0100000,181.4100000,69.708.850
GAZP,D,20200401,000000,178.0500000,181.3800000,177.5000000,180.0600000,40.356.500
GAZP,D,20200402,000000,183.8000000,190.0000000,180.2500000,187.0400000,87.685.660
GAZP,D,20200403,000000,187.0300000,193.8500000,185.7200000,189.7700000,92.292.440
GAZP,D,20200406,000000,192.2500000,193.4400000,189.4400000,191.1000000,62.810.660
GAZP,D,20200407,000000,192.7200000,195.1300000,189.8000000,191.2200000,66.726.560
GAZP,D,20200408,000000,189.7500000,194.1100000,188.1000000,194.1100000,49.196.260
GAZP,D,20200409,000000,195.6900000,196.2600000,189.8800000,193.8600000,84.196.490
GAZP,D,20200410,000000,191.8600000,192.4400000,190.5100000,192.0000000,16.941.950
GAZP,D,20200413,000000,192.2500000,192.3600000,186.0700000,188.0700000,28.468.270
GAZP,D,20200414,000000,189.5700000,191.7600000,188.3000000,190.1100000,50.604.120
GAZP,D,20200415,000000,189.1600000,189.4800000,182.5600000,184.2500000,53.684.360
GAZP,D,20200416,000000,185.1500000,189.1600000,182.7500000,184.3000000,56.338.120
GAZP,D,20200417,000000,187.0700000,187.8700000,183.5400000,184.6800000,38.709.150
GAZP,D,20200420,000000,184.1100000,186.2500000,183.0000000,185.5100000,34.244.800
GAZP,D,20200421,000000,183.1700000,184.5000000,179.0500000,181.9200000,66.847.460
GAZP,D,20200422,000000,181.0900000,188.5500000,180.3300000,188.3600000,48.244.280
GAZP,D,20200423,000000,189.9800000,191.5900000,187.5000000,188.7300000,39.797.620
GAZP,D,20200424,000000,187.9400000,187.9500000,185.1000000,185.7100000,36.685.880
